ENA_PROJECT,METAGENOMICS_ANALYSES,biome_name,centre_name,description,name
PRJEB33020,MGYA00649071_5.0,Lung,URMITE,Lung metagenomes from 15 healthy volunteers were sequenced (16S V3-V4 region),Healthy human lung microbiome from 15 volunteers
PRJNA820972,MGYA00673436_5.0,Lung,Telethon Kids Institute,"16S-based amplicon sequencing profiling of the microbiota associated with the bronchial wash of COPD patients, healthy smokers and healthy controls.","16S-based bacterial profiling of the microbiota associated with the bronchoalveolar lavage fluid of patients with COPD, healthy smokers and healthy controls. Targeted loci"
PRJNA339931,MGYA00411991_4.1,Nasal cavity,Walter Reed Army Institute of Research,"Certain occupational and geographical exposures have been associated with an increased risk of lung disease. As a baseline for future studies, we sought to characterize the upper respiratory microbiome of healthy military personnel in a garrison environment. Nasal, oropharyngeal and nasopharyngeal swabs were collected from 50 healthy active duty volunteers eight times over the course of one year and subjected to pyrosequencing of 16S rDNA V3 to V1 region. The study produced a large set of pyrosequencing data of bacterial 16S rDNA V3-V1 region for respiratory microbiome of healthy active duty service members. Pre-processing of sequencing reads shows good data quality. The derived microbiome profiles are consistent both internally and with previous reports, suggesting utility for further analyses and association studies using sequence and demographic data.",Composition and variation of respiratory microbiota in healthy military personnel Metagenome
PRJNA477678,MGYA00681583_5.0,Lung,National Institute of Fundamental Studies,"The respiratory microbiome is a role player in human health, therefore is significant to be addressed thoroughly. The respiratory tract is the main portal through which the microorganisms enter the human body. Lung cancer and bronchiectasis are chronic lung diseases that largely burdens the humans around the world.This study intended to identify bacteria in human respiratory tract (upper and lower) in the two diseases as well as in a healthy group.","Respiratory microbiota in lung cancer, bronchiectasis and healthy populations"
PRJNA282010,MGYA00662088_5.0,Lung,Queen's University Belfast,"Lower airway microbiota from stable chronic obstructive pulmonary disease, smokers and healthy non-smokers","Community dynamics and the lower airway microbiota in stable chronic obstructive pulmonary disease, smokers and healthy non-smokers"
PRJEB25060,MGYA00152030_4.1,Respiratory system,KYUNG HEE UNIVERSITY,"The aim of this study is to produce a healthy control metataxonomic data of bacterial community in tracheal-oropharynx using endotracheal tube which can be used for sputa studies which would involve various pathological conditions including bacterial infectious pneumonia. Furthermore, we also investigated samples from diabetic patients as infection-free risk group which is frequently requested patients in clinical environment.",Microbial community in Trachea-oropharynx of Diabetic patient was compared with healthy controls and bacterial pneumonia
PRJNA615630,MGYA00652540_5.0,Lung,University of Michigan,The goal of this project was to determine the relationship between lung microbiota and clinical outcomes among asymptomatic lung transplant recipients with preserved lung function. Bacterial communities in acellular bronchoalveolar lavage fluid collected during routine one-year post-transplant surveillance bronchoscopy was characterized using 16S rRNA gene amplicon sequencing using the Illumina MiSeq platform.,Lung microbiota in healthy lung transplant recipients
PRJNA316098,MGYA00673899_5.0,Lung,mothur,Here we study there bacterial topography of the human respiratory tract in health and demonstrate that micro-aspiration is the method of microbial dispersion in the lungs,The Bacterial Topography of the Healthy Human Respiratory Tract
PRJEB9034,MGYA00112358_3.0,Sputum,ABERSYTWYTH UNIVERSITY,"Chronic Obstructive Pulmonary Disease (COPD) may worsen with microbial changes in the respiratory tract but studies into taxonomic structure of the COPD lung microbiome have yielded equivocal results. This may reflect the poor resolving power of taxonomic classification when only based 16S rRNA amplicon sequencing. We here report the metagenomic characterisation of COPD microbiome to more accurately reveal its species-level structure and functional capacity. The bacterial metagenomes within sputum samples from eight COPD patients and ten ?healthy? smokers (Controls) were sequenced and suggested increases in the abundance of bacterial species, particularly within Streptococcus in COPD. The functional capacity of the COPD lung microbiome indicated an increased capacity for bacterial growth, which could be an important feature in bacterial-associated acute exacerbations. Regression analyses correlated COPD severity (FEV1 % of predicted) with differences in the abundance of Streptococcus pneumonia and functional classifications related to a reduced capacity for bacterial sialic acid metabolism. Neither of these lung microbiome characteristics correlated with patient age or smoking pack history, further suggesting an association with COPD pathology. This study suggests that the COPD lung microbiome could be used in patient risk stratification and in identifying novel monitoring and treatment methods.",Metagenomic analysis of the upper bronchial tract microbiome in patients with chronic obstructive pulmonary disease and 'healthy' smoker controls
PRJNA762201,MGYA00664630_5.0,Lung,Northwest A&F University,To detect changes of lung microbiota in healthy and disease states,lung metagenome Raw sequence reads
PRJNA507734,MGYA00681683_5.0,Lung,Harbin Medical University,Investigate phylogenetic compositions in gut microbiota between lung cancer patients and healthy volunteers,Gut microbiota in lung cancer patients
PRJNA172839,MGYA00673861_5.0,Lung,Stanford University,Human pulmonary microbiome - pulmonary secretions and tissue from cystic fibrosis patients and pulmonary secretions from healthy volunteers.,Human pulmonary secretions and tissue Targeted Locus (Loci)
PRJNA362484,MGYA00674958_5.0,Lung,ShenZhen Children's Hospital,"To discovery involvement of pulmonary capillary bronchitis microbiome,and distinct microbial correlation under RSA infected and healthy.",pulmonary capillary bronchitis Targeted loci environmental
PRJEB29091,MGYA00432402_4.1,Pharynx,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON","A population study of respiratory tract microbiome in a largely healthy cohort of participants in the Busselton Health Study, Perth, Western Australia.",16S rRNA gene sequencing data from throat swabs from participants in the Busselton Health Study
PRJNA392272,MGYA00675077_5.0,Lung,University of Pennsylvania,"To determine if any microbes are enriched in sarcoidosis relative to healthy controls. 16S, ITS tagged sequencing; shotgun sequencing; viral purification and sequencing.",Examination of microbes in sarcoidosis BAL and tissue. Raw sequence reads
PRJNA722474,MGYA00662555_5.0,Sputum,Southwest Medical University,The respiratory microbiome of lung cancer patients is different from healthy people. Finding the characteristics of microorganisms is conducive to exploring new directions for the assist in distinguishing different histological types of lung cancer.,Bacterial sequencing of sputum
PRJNA722576,MGYA00662569_5.0,Sputum,Southwest Medical University,The respiratory microbiome of lung cancer patients is different from healthy people. Finding the characteristics of microorganisms is conducive to exploring new directions for the assist in distinguishing different histological types of lung cancer.,Fungi sequencing of sputum
PRJNA275918,MGYA00390182_4.1,Nasopharyngeal,University of Melbourne,"Bacterial community profiling of nasopharyngeal (NP) aspirates across a birth cohort of 234 infants. Multiple samples per child, including ""healthy"" NP samples collected in the absence of respiratory symptoms and ""infection"" NP samples collected during episodes of acute respiratory illness.",Infant nasopharyngeal bacteria microbiome
PRJEB45648,MGYA00645974_5.0,Pharynx,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON","ABSTRACTRationale: Elite athletes are susceptible to respiratory tract infection (RTI) leading to significant training and in-competition time loss.Objective: This prospective study aimed to understand RTI susceptibility in elite athletes through systematic clinical and immune phenotyping in a cohort of 121 elite Olympic athletes.Methods/measurements: We performed comprehensive clinical and respiratory function phenotyping to identify athletes highly susceptible and non-susceptible to RTI. Baseline T and B cell peripheral lymphotype phenotyping was performed by flow cytometry with findings validated by mass cytometry in repeat samples. Viral immune response was analysed through peripheral blood mononuclear cell (PBMC) stimulation assays. Further immune phenotyping was performed through 16s rRNA microbial sequencing of oropharyngeal swabs and global untargeted plasma metabolomic profiling. Findings were compared to non-athlete healthy controls.Main Results: Clinical phenotyping revealed 23 athletes as highly susceptible to RTI with 23 athletes non-susceptible. Immune phenotyping revealed that highly susceptible athletes had a significantly reduced peripheral memory T regulatory cell compartment compared to non-susceptible athletes and healthy controls. The PBMC immune response to viral ligands in highly susceptible athletes also revealed a pro-inflammatory skewed T helper 2 response. Analysis of the oropharyngeal microbiome revealed reduced bacterial biomass in elite athletes compared to healthy controls. Metabolomic profiling revealed significant differences in sphingolipid pathway metabolites between RTI highly susceptible, non-susceptible athletes and healthy controls.Conclusion: in this study we highlight a RTI-susceptible elite athlete endotype and show the presence of a persistent reduction in circulating memory T regulatory cells with further evidence of bacterial dysbiosis and metabolic dysregulation of the sphingolipid pathway.",Immune dysregulation associated with respiratory illness in elite athletes
PRJEB9607,MGYA00652515_5.0,Sputum,SNU,"We characterized the airway microbiota of healthy Korean adults. The study population consisted of monozygotic twins, dizygotic twins, and family members of twin pairs. All subjects had not taken antibiotics within three months prior to sampling and had no current symptoms of chronic lung diseases, such as asthma and COPD. A total of 304 sputum samples collected from each subject were analyzed for airway microbiota composition using next generation sequencing of partial 16S rRNA gene sequence.",16S rRNA gene sequences of human airway microbiota
