attributes.accession,attributes.bioproject,attributes.centre-name,attributes.data-origination,attributes.is-private,attributes.last-update,attributes.public-release-date,attributes.samples-count,attributes.secondary-accession,attributes.study-abstract,attributes.study-name,id,links.self,relationships.analyses.links.related,relationships.biomes.data.0.id,relationships.biomes.data.0.links.self,relationships.biomes.data.0.type,relationships.biomes.data.1.id,relationships.biomes.data.1.links.self,relationships.biomes.data.1.type,relationships.biomes.data.2.id,relationships.biomes.data.2.links.self,relationships.biomes.data.2.type,relationships.biomes.links.related,relationships.downloads.links.related,relationships.geocoordinates.links.related,relationships.publications.links.related,relationships.samples.links.related,type
MGYS00005333,PRJEB26832,EMG,SUBMITTED,false,2024-06-28T21:01:05,,244,ERP108859,"The Gut microbial dysbiosis in young adults with obesity Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB12123.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Gut microbial dysbiosis in young adults with obesity (Gut microbial dysbiosis in young adults with obesity) data set.,MGYS00005333,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/samples,studies
MGYS00005230,PRJEB5729,CCME-COLORADO,SUBMITTED,false,2024-06-28T15:19:05,,915,ERP005153,Fecal samples from Flores_SMP for EBI submission,Flores_fecal_EBI,MGYS00005230,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/samples,studies
MGYS00002061,PRJEB22554,EMBL-EBI,SUBMITTED,false,2024-05-13T20:09:07,,52,ERP104235,The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA321058. This project includes samples from the following biomes : Human gut.,EMG produced TPA metagenomics assembly of the Increased intestinal microbial diversity following fecal microbiota transplant for active Crohn''s disease (human gut metagenome) data set,MGYS00002061,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/samples,studies
MGYS00006551,PRJEB67738,EMG,SUBMITTED,false,2024-04-10T16:22:43,,2043,ERP152745,"The Third Party Annotation (TPA)  assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB62473, and was assembled with metaspades v3.15.3. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJEB62473 data set (The INTEGRATE project).,MGYS00006551,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/samples,studies
MGYS00005023,PRJEB27122,EMG,SUBMITTED,false,2024-02-02T22:19:45,,122,ERP109164,"The 123CD-metagenomics Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB15371.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition (123CD-metagenomics) data set.,MGYS00005023,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005023,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005023/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005023/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005023/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005023/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005023/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005023/samples,studies
MGYS00003468,PRJEB25962,EMG,SUBMITTED,false,2024-01-23T15:36:44,,396,ERP107929,"The  Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB1220.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the A method for identifying metagenomic species and variable genetic elements by exhaustive co-abundance binning () data set.,MGYS00003468,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003468,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003468/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003468/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003468/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003468/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003468/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003468/samples,studies
MGYS00005234,PRJEB6705,CCME-COLORADO,SUBMITTED,false,2024-01-23T14:40:52,,502,ERP006342,second half of Goodrich_MiSeq for EBI submission,Goodrich_TwinsUK_Miseq_2,MGYS00005234,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005234,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005234/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005234/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005234/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005234/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005234/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005234/samples,studies
MGYS00003511,PRJEB26924,EMG,SUBMITTED,false,2024-01-17T01:24:56,,102,ERP108955,"The CHD102-metagenomics Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB15111.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease (CHD102-metagenomics) data set.,MGYS00003511,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003511,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003511/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003511/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003511/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003511/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003511/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003511/samples,studies
MGYS00001189,PRJNA318004,mothur,HARVESTED,false,2024-01-12T14:50:59,,408,SRP073172,Using DNA extracted from fecal immunochemical test cartridges rather than directly from stool for detecting colorectal cancer based on the gut microbiome.,DNA from FIT can replace stool for microbiota-based colorectal,MGYS00001189,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001189,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001189/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001189/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001189/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001189/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001189/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001189/samples,studies
MGYS00001255,PRJNA307231,IrsiCaixa Foundation,HARVESTED,false,2024-01-12T14:01:54,,350,SRP068240,"The precise effects of HIV-1 on the human microbiome are unclear. Initial cross-sectional studies provided contradictory associations between microbial richness and HIV status and suggested shifts from Bacteroides to Prevotella predominance following HIV-1 infection, which have not been found in animal models or in studies matched for HIV-1 risk groups.This was a cross-sectional study where we first tested 129 HIV-1-infected subjects and 27 HIV-negative controls in Barcelona (BCN0). Findings were internally validated in 110 subjects from BCN0 providing a second fecal sample 1 month later. External validation was obtained in 77 HIV-1-infected and 7 non-infected subjects from Stockholm. In all study participants, we produced MiSeq 16S rRNA data on fecal microbiomes and collected comprehensive metadata.",Human feces metagenome 16s rDNA sequencing,MGYS00001255,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001255,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001255/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001255/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001255/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001255/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001255/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001255/samples,studies
