attributes.authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,attributes.doi                    ,attributes.isbn                  ,attributes.iso-journal                  ,attributes.issue ,attributes.medline-journal ,attributes.pub-abstract ,attributes.pub-title                                                                                                                                                                                                           ,attributes.pub-type                                                                                                                                                      ,attributes.pub-url                                                         ,attributes.published-year ,attributes.pubmed-central-id ,attributes.pubmed-id ,attributes.raw-pages ,attributes.samples-count ,attributes.studies-count ,attributes.volume                                      ,id       ,links.self                                                      ,relationships.samples.links.related                                     ,relationships.studies.links.related                                     ,type
"Herbold CW, Noell SE, Lee CK, Vickers CJ, Stott MB, Eisen JA, McDonald IR, Cary SC."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,10.1186/s40793-024-00655-5        ,2524-6372                        ,Environ Microbiome                      ,                 ,                           ,                        ,"Nutritional niches of potentially endemic, facultatively anaerobic heterotrophs from an isolated Antarctic terrestrial hydrothermal refugium elucidated through metagenomics."                                                ,journal article                                                                                                                                                          ,                                                                           ,                     2024 ,                             ,3.9696719e+07        ,104                  ,                       2 ,                       1 ,19                                                     ,39696719 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/39696719 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/39696719/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/39696719/studies ,publications
"Huang Y, Pan A, Song Y, Deng Y, Wu AL, Lau CS, Zhang T."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,10.1093/ismejo/wrad040            ,1751-7362; 1751-7370;            ,ISME J                                  ,                 ,                           ,                        ,Strain-level diversity in sulfonamide biodegradation: adaptation of Paenarthrobacter to sulfonamides.                                                                                                                          ,journal article                                                                                                                                                          ,                                                                           ,                     2024 ,                             ,3.8366247e+07        ,wrad040              ,                       9 ,                       1 ,18                                                     ,38366247 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/38366247 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/38366247/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/38366247/studies ,publications
"Duan C, Liu Y, Liu Y, Liu L, Cai M, Zhang R, Zeng Q, Koonin EV, Krupovic M, Li M."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.1093/ismeco/ycad011            ,2730-6151                        ,ISME Commun                             ,                 ,                           ,                        ,Diversity of <i>Bathyarchaeia</i> viruses in metagenomes and virus-encoded CRISPR system components.                                                                                                                           ,journal article                                                                                                                                                          ,                                                                           ,                     2024 ,                             ,3.8328448e+07        ,ycad011              ,                       0 ,                       1 ,4                                                      ,38328448 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/38328448 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/38328448/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/38328448/studies ,publications
"Kravchenko I, Rayko M, Tikhonova E, Konopkin A, Abakumov E, Lapidus A."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,10.3390/microorganisms10112171    ,2076-2607                        ,Microorganisms                          ,                 ,                           ,                        ,Agricultural Crops Grown in Laboratory Conditions on Chernevaya Taiga Soil Demonstrate Unique Composition of the Rhizosphere Microbiota.                                                                                       ,journal article                                                                                                                                                          ,                                                                           ,                     2022 ,                             ,3.6363763e+07        ,2171                 ,                       5 ,                       1 ,10                                                     ,36363763 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/36363763 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/36363763/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/36363763/studies ,publications
"Zhang Y, Bhosle A, Bae S, McIver LJ, Pishchany G, Accorsi EK, Thompson KN, Arze C, Wang Y, Subramanian A, Kearney SM, Pawluk A, Plichta DR, Rahnavard A, Shafquat A, Xavier RJ, Vlamakis H, Garrett WS, Krueger A, Huttenhower C, Franzosa EA."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,10.1038/s41586-022-04648-7        ,0028-0836; 1476-4687;            ,Nature                                  ,                 ,                           ,                        ,Discovery of bioactive microbial gene products in inflammatory bowel disease.                                                                                                                                                  ,research-article; journal article                                                                                                                                        ,                                                                           ,                     2022 ,                             ,3.5614211e+07        ,754-760              ,                     176 ,                       1 ,606                                                    ,35614211 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35614211 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35614211/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35614211/studies ,publications
"Iwańska O, Latoch P, Suchora M, Pidek IA, Huber M, Bubak I, Kopik N, Kovalenko M, Gąsiorowski M, Armache JP, Starosta AL."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1038/s41598-022-12761-w        ,2045-2322                        ,Sci Rep                                 ,                 ,                           ,                        ,Lake microbiome and trophy fluctuations of the ancient hemp rettery.                                                                                                                                                           ,journal article                                                                                                                                                          ,                                                                           ,                     2022 ,                             ,3.5614182e+07        ,8846                 ,                      18 ,                       2 ,12                                                     ,35614182 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35614182 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35614182/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35614182/studies ,publications
"Reynoso-García J, Narganes-Storde Y, Santiago-Rodriguez TM, Toranzos GA."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,10.3390/microorganisms10020459    ,2076-2607                        ,Microorganisms                          ,                 ,                           ,                        ,Mycobiome-Host Coevolution? The Mycobiome of Ancestral Human Populations Seems to Be Different and Less Diverse Than Those of Extant Native and Urban-Industrialized Populations.                                              ,journal article                                                                                                                                                          ,                                                                           ,                     2022 ,                             ,3.5208912e+07        ,n/a                  ,                      57 ,                       1 ,10                                                     ,35208912 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35208912 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35208912/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35208912/studies ,publications
"Lydon KA, Glinski DA, Westrich JR, Henderson WM, Lipp EK."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1525/elementa.141              ,2325-1026                        ,Elementa (Wash D C)                     ,                 ,                           ,                        ,Effects of triclosan on bacterial community composition and <i>Vibrio</i> populations in natural seawater microcosms.                                                                                                          ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,3.5178461e+07        ,1-16                 ,                      24 ,                       1 ,5                                                      ,35178461 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35178461 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35178461/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35178461/studies ,publications
"Renoud S, Vacheron J, Abrouk D, Prigent-Combaret C, Legendre L, Muller D, Moënne-Loccoz Y."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.3389/fmicb.2021.760512         ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,Field Site-Specific Effects of an <i>Azospirillum</i> Seed Inoculant on Key Microbial Functional Groups in the Rhizosphere.                                                                                                    ,journal article                                                                                                                                                          ,                                                                           ,                     2021 ,                             ,3.5154023e+07        ,760512               ,                       3 ,                       3 ,12                                                     ,35154023 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35154023 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35154023/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35154023/studies ,publications
"Briscoe L, Balliu B, Sankararaman S, Halperin E, Garud NR."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1371/journal.pcbi.1009838      ,1553-734x; 1553-7358;            ,PLoS Comput Biol                        ,                 ,                           ,                        ,Evaluating supervised and unsupervised background noise correction in human gut microbiome data.                                                                                                                               ,journal article                                                                                                                                                          ,                                                                           ,                     2022 ,                             ,3.5130266e+07        ,e1009838             ,                   32791 ,                       3 ,18                                                     ,35130266 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35130266 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35130266/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/35130266/studies ,publications
