id,sample-count,bioproject,secondary-accession,study-abstract,study-name,samples
MGYS00005333,244,PRJEB26832,ERP108859,"The Gut microbial dysbiosis in young adults with obesity Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB12123.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Gut microbial dysbiosis in young adults with obesity (Gut microbial dysbiosis in young adults with obesity) data set.,"ERS1015689,ERS1015679,ERS1015687,ERS1015662,ERS1015779,ERS1015861,ERS1015844,ERS1015854,ERS1015683,ERS1015820,ERS1015692,ERS1015847,ERS1015813,ERS1015761,ERS1015787,ERS1015617,ERS1015713,ERS1015835,ERS1015858,ERS1015675,ERS1015754,ERS1015670,ERS1015695,ERS1015832,ERS1015860"
MGYS00005230,915,PRJEB5729,ERP005153,Fecal samples from Flores_SMP for EBI submission,Flores_fecal_EBI,"ERS414836,ERS414839,ERS414841,ERS414845,ERS414848,ERS414854,ERS414861,ERS414862,ERS414864,ERS414867,ERS414874,ERS414877,ERS414878,ERS414880,ERS414881,ERS414886,ERS414889,ERS414891,ERS414893,ERS414895,ERS414902,ERS414904,ERS414909,ERS414911,ERS414913"
MGYS00002061,52,PRJEB22554,ERP104235,The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA321058. This project includes samples from the following biomes : Human gut.,EMG produced TPA metagenomics assembly of the Increased intestinal microbial diversity following fecal microbiota transplant for active Crohn''s disease (human gut metagenome) data set,"SRS1465262,SRS1465274,SRS1465271,SRS1465258,SRS1465248,SRS1465259,SRS1465257,SRS1465256,SRS1465233,SRS1465235,SRS1465236,SRS1465264,SRS1465246,SRS1465263,SRS1465232,SRS1465273,SRS1465265,SRS1465275,SRS1465229,SRS1465254,SRS1465280,SRS1465276,SRS1465267,SRS1465242,SRS1465253"
MGYS00006551,2043,PRJEB67738,ERP152745,"The Third Party Annotation (TPA)  assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB62473, and was assembled with metaspades v3.15.3. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJEB62473 data set (The INTEGRATE project).,"ERS15536204,ERS15536208,ERS15535405,ERS15536220,ERS15536230,ERS15535398,ERS15536242,ERS15536266,ERS15536277,ERS15535407,ERS15536287,ERS15536299,ERS15536403,ERS15536413,ERS15535494,ERS15535518,ERS15536419,ERS15536423,ERS15536425,ERS15536429,ERS15536435,ERS15536465,ERS15535540,ERS15536503,ERS15536482"
MGYS00001988,260,PRJEB22359,ERP104038,The cholera_succession Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB9150. This project includes samples from the following biomes : Human gut.,EMG produced TPA metagenomics assembly of the Gut microbial succession follows acute secretory diarrhea in humans (cholera_succession) data set,"ERS714134,ERS714115,ERS714129,ERS714109,ERS714142,ERS714126,ERS714153,ERS714150,ERS714130,ERS714118,ERS714152,ERS714155,ERS714147,ERS714146,ERS714143,ERS714145,ERS714121,ERS714141,ERS714136,ERS714125,ERS714138,ERS714133,ERS714122,ERS714139,ERS714149"
MGYS00005023,122,PRJEB27122,ERP109164,"The 123CD-metagenomics Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB15371.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition (123CD-metagenomics) data set.,"ERS1343357,ERS1343350,ERS1343398,ERS1343347,ERS1343355,ERS1343427,ERS1343396,ERS1343413,ERS1343409,ERS1343431,ERS1343354,ERS1343419,ERS1343366,ERS1343327,ERS1343407,ERS1343365,ERS1343394,ERS1343353,ERS1343417,ERS1343383,ERS1343386,ERS1343399,ERS1343333,ERS1343381,ERS1343341"
MGYS00002425,387,PRJEB24849,ERP106708,"The  Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA301903.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine.",EMG produced TPA metagenomics assembly of the Metagenomic sequencing of preterm infant gut microbiota raw sequence reads () data set.,"SRS1267702,SRS1267754,SRS1267777,SRS1267722,SRS1267771,SRS1268093,SRS1268092,SRS1267779,SRS1267685,SRS1268088,SRS1268085,SRS1268076,SRS1268074,SRS1268073,SRS1268072,SRS1268071,SRS1268070,SRS1268349,SRS1268103,SRS1267784,SRS1267785,SRS1267688,SRS1268068,SRS1268067,SRS1268064"
MGYS00003468,396,PRJEB25962,ERP107929,"The  Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB1220.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the A method for identifying metagenomic species and variable genetic elements by exhaustive co-abundance binning () data set.,"ERS199007,ERS199362,ERS199344,ERS199108,ERS199104,ERS199111,ERS199107,ERS199106,ERS199118,ERS199005,ERS199014,ERS199384,ERS199090,ERS199287,ERS199328,ERS199117,ERS199112,ERS199395,ERS199009,ERS199004,ERS199205,ERS199349,ERS199211,ERS199215,ERS199373"
MGYS00005234,502,PRJEB6705,ERP006342,second half of Goodrich_MiSeq for EBI submission,Goodrich_TwinsUK_Miseq_2,"ERS501685,ERS501695,ERS501700,ERS501701,ERS501706,ERS501707,ERS501708,ERS501716,ERS501717,ERS501723,ERS501724,ERS501728,ERS501730,ERS501732,ERS501733,ERS501735,ERS501736,ERS501746,ERS501747,ERS501749,ERS501750,ERS501753,ERS501754,ERS501755,ERS501759"
MGYS00003511,102,PRJEB26924,ERP108955,"The CHD102-metagenomics Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB15111.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease (CHD102-metagenomics) data set.,"ERS1289738,ERS1289708,ERS1289680,ERS1289710,ERS1289747,ERS1289751,ERS1289735,ERS1289776,ERS1289696,ERS1289742,ERS1289724,ERS1289733,ERS1289695,ERS1289775,ERS1289711,ERS1289700,ERS1289727,ERS1289704,ERS1289725,ERS1289719,ERS1289715,ERS1289678,ERS1289743,ERS1289752,ERS1289722"
