,id
0,MGYS00005333
1,MGYS00005230
2,MGYS00002061
3,MGYS00006551
4,MGYS00005023
5,MGYS00003468
6,MGYS00005234
7,MGYS00003511
8,MGYS00001189
9,MGYS00001255
10,MGYS00003575
11,MGYS00006553
12,MGYS00001278
13,MGYS00000580
14,MGYS00001211
15,MGYS00006023
16,MGYS00006121
17,MGYS00006226
18,MGYS00006224
19,MGYS00006559
20,MGYS00006431
21,MGYS00006453
22,MGYS00006419
23,MGYS00006399
24,MGYS00006394
25,MGYS00006380
26,MGYS00006354
27,MGYS00006353
28,MGYS00006351
29,MGYS00006333
30,MGYS00006292
31,MGYS00006220
32,MGYS00006223
33,MGYS00006222
34,MGYS00006122
35,MGYS00006221
36,MGYS00006219
37,MGYS00000526
38,MGYS00006120
39,MGYS00006102
40,MGYS00006076
41,MGYS00005730
42,MGYS00005202
43,MGYS00006016
44,MGYS00006013
45,MGYS00006012
46,MGYS00006008
47,MGYS00005805
48,MGYS00006005
49,MGYS00005176
50,MGYS00005236
51,MGYS00005860
52,MGYS00002045
53,MGYS00005816
54,MGYS00001985
55,MGYS00005817

Results: We find that the human gut microbiome is temporally stable and highly personalized at both taxonomic and functional levels. Over multiple time-points, even in the context of a large dataset of 888 European and American fecal metagenomes. One exception was observed in an antibiotic intervention case where

Conclusions: Technical variability is small compared to the temporal variability of an unperturbed gut microbiome, short-term preservation of fecal samples in RNALater is an appropriate and cost-effective alternative to freezing of fecal samples for metagenomic studies."
56,MGYS00005806
57,MGYS00005795
58,MGYS00005793
59,MGYS00005794
60,MGYS00005791
61,MGYS00005792
62,MGYS00005767
63,MGYS00005768
64,MGYS00005762
65,MGYS00005763
66,MGYS00005755
67,MGYS00005742
68,MGYS00005729
69,MGYS00005702
70,MGYS00005684
71,MGYS00005685
72,MGYS00005657
73,MGYS00005619
74,MGYS00005601
75,MGYS00005594
76,MGYS00005591

Authors: Allison Clark, Valentine Ballan
77,MGYS00005583
78,MGYS00005259
79,MGYS00005173
80,MGYS00005239
81,MGYS00005505
82,MGYS00005144
83,MGYS00005516
84,MGYS00005445
