,analysis,phylum,count,rel_abundance
0,MGYA00171794,Actinobacteria,14,0.08879304877275322
1,MGYA00171794,Bacteroidetes,1870,11.86021437178918
2,MGYA00171794,Balneolaeota,6,0.038054163759751375
3,MGYA00171794,Chlamydiae,2,0.012684721253250458
4,MGYA00171794,Cyanobacteria,1029,6.526289084797361
5,MGYA00171794,Firmicutes,15,0.09513540939937845
6,MGYA00171794,Lentisphaerae,14,0.08879304877275322
7,MGYA00171794,Planctomycetes,39,0.24735206443838395
8,MGYA00171794,Proteobacteria,876,5.555907908923701
9,MGYA00171794,Tenericutes,11899,75.46774909621361
10,MGYA00171794,Verrucomicrobia,3,0.019027081879875687
11,MGYA00171795,Actinobacteria,1,0.015248551387618176
12,MGYA00171795,Bacteroidetes,569,8.676425739554743
13,MGYA00171795,Cyanobacteria,6,0.09149130832570906
14,MGYA00171795,Firmicutes,3,0.04574565416285453
15,MGYA00171795,Proteobacteria,34,0.5184507471790181
16,MGYA00171795,Tenericutes,5945,90.65263799939007
17,MGYA00171796,Bacteroidetes,253,9.960629921259843
18,MGYA00171796,Cyanobacteria,64,2.5196850393700787
19,MGYA00171796,Firmicutes,1,0.03937007874015748
20,MGYA00171796,Proteobacteria,969,38.14960629921259
21,MGYA00171796,Tenericutes,1253,49.33070866141732
22,MGYA00171797,Actinobacteria,12,0.6332453825857519
23,MGYA00171797,Bacteroidetes,51,2.691292875989446
24,MGYA00171797,Cyanobacteria,1,0.05277044854881266
25,MGYA00171797,Proteobacteria,648,34.1952506596306
26,MGYA00171797,Tenericutes,1183,62.42744063324538
27,MGYA00171798,Bacteroidetes,302,9.559987337765117
28,MGYA00171798,Proteobacteria,393,12.440645773979107
29,MGYA00171798,Spirochaetes,1,0.03165558721114277
30,MGYA00171798,Tenericutes,2463,77.96771130104464
31,MGYA00171799,Actinobacteria,4,0.026908846283215607
32,MGYA00171799,Bacteroidetes,936,6.296670030272453
33,MGYA00171799,Cyanobacteria,523,3.518331651530441
34,MGYA00171799,Firmicutes,5,0.03363605785401951
35,MGYA00171799,Planctomycetes,8,0.053817692566431215
36,MGYA00171799,Proteobacteria,893,6.007399932727885
37,MGYA00171799,Spirochaetes,1,0.006727211570803902
38,MGYA00171799,Tenericutes,12495,84.05650857719476
39,MGYA00171800,Bacteroidetes,104,2.1518725429339955
40,MGYA00171800,Proteobacteria,26,0.5379681357334989
41,MGYA00171800,Tenericutes,4703,97.3101593213325
