id                                                 group                        description                        pipeline-verlink
ERP108859_GO-slim_abundances_v4.1.tsv              Functional analysis          GO slim annotation                 4.1               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/4.1/file/ERP108859_GO-slim_abundances_v4.1.tsv
ERP108859_GO_abundances_v4.1.tsv                   Functional analysis          Complete GO annotation             4.1               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/4.1/file/ERP108859_GO_abundances_v4.1.tsv
ERP108859_IPR_abundances_v4.1.tsv                  Functional analysis          InterPro matches (TSV)             4.1               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/4.1/file/ERP108859_IPR_abundances_v4.1.tsv
ERP108859_phylum_taxonomy_abundances_SSU_v4.1.tsv  Taxonomic analysis SSU rRNA  Phylum level taxonomies SSU (TSV)  4.1               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/4.1/file/ERP108859_phylum_taxonomy_abundances_SSU_v4.1.tsv
ERP108859_taxonomy_abundances_SSU_v4.1.tsv         Taxonomic analysis SSU rRNA  Taxonomic assignments SSU (TSV)    4.1               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/4.1/file/ERP108859_taxonomy_abundances_SSU_v4.1.tsv
ERP108859_phylum_taxonomy_abundances_LSU_v4.1.tsv  Taxonomic analysis LSU rRNA  Phylum level taxonomies LSU (TSV)  4.1               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/4.1/file/ERP108859_phylum_taxonomy_abundances_LSU_v4.1.tsv
ERP108859_taxonomy_abundances_LSU_v4.1.tsv         Taxonomic analysis LSU rRNA  Taxonomic assignments LSU (TSV)    4.1               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/4.1/file/ERP108859_taxonomy_abundances_LSU_v4.1.tsv
ERP108859_GO-slim_abundances_v5.0.tsv              Functional analysis          GO slim annotation                 5.0               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_GO-slim_abundances_v5.0.tsv
ERP108859_GO_abundances_v5.0.tsv                   Functional analysis          Complete GO annotation             5.0               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_GO_abundances_v5.0.tsv
ERP108859_IPR_abundances_v5.0.tsv                  Functional analysis          InterPro matches (TSV)             5.0               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_IPR_abundances_v5.0.tsv
ERP108859_phylum_taxonomy_abundances_SSU_v5.0.tsv  Taxonomic analysis SSU rRNA  Phylum level taxonomies SSU (TSV)  5.0               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_phylum_taxonomy_abundances_SSU_v5.0.tsv
ERP108859_taxonomy_abundances_SSU_v5.0.tsv         Taxonomic analysis SSU rRNA  Taxonomic assignments SSU (TSV)    5.0               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_taxonomy_abundances_SSU_v5.0.tsv
ERP108859_phylum_taxonomy_abundances_LSU_v5.0.tsv  Taxonomic analysis LSU rRNA  Phylum level taxonomies LSU (TSV)  5.0               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_phylum_taxonomy_abundances_LSU_v5.0.tsv
ERP108859_taxonomy_abundances_LSU_v5.0.tsv         Taxonomic analysis LSU rRNA  Taxonomic assignments LSU (TSV)    5.0               https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_taxonomy_abundances_LSU_v5.0.tsv
