accession,sample-name,geo-loc-name,studies,biome
ERS006485,bgi-V1.UC-15,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006486,bgi-MH0078,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006487,bgi-MH0072,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006488,bgi-MH0025,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006489,bgi-MH0035,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006490,bgi-MH0031,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006491,bgi-MH0009,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006492,bgi-V1.UC-9,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006493,bgi-MH0075,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006494,bgi-MH0012,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006495,bgi-MH0053,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006496,bgi-MH0077,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006497,bgi-MH0006,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006499,bgi-MH0021,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006500,bgi-MH0052,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006501,bgi-MH0048,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006502,bgi-O2.UC-23,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006504,bgi-MH0032,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006506,bgi-MH0061,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006507,bgi-MH0045,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006508,bgi-MH0062,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006509,bgi-O2.UC-4,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006510,bgi-V1.UC-7,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006511,bgi-MH0085,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006512,bgi-O2.UC-19,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006513,bgi-MH0056,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006514,bgi-MH0083,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006515,bgi-V1.UC-13,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006516,bgi-MH0046,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006517,bgi-MH0074,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006518,bgi-V1.UC-21,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006519,bgi-MH0081,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006520,bgi-O2.UC-14,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006521,bgi-O2.UC-21,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006522,bgi-O2.UC-18,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006523,bgi-O2.UC-13,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006524,bgi-V1.CD-9,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006525,bgi-MH0044,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006526,bgi-V1.CD-2,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006527,bgi-MH0030,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006528,bgi-MH0066,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006529,bgi-MH0049,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006530,bgi-MH0068,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006531,bgi-MH0038,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006532,bgi-MH0042,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006533,bgi-MH0028,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006535,bgi-MH0067,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006536,bgi-MH0064,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006538,bgi-MH0034,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006539,bgi-V1.CD-3,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006540,bgi-MH0011,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006541,bgi-MH0084,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
