Gene	GUT_GENOME004548	GUT_GENOME005506	GUT_GENOME010010	GUT_GENOME016753	GUT_GENOME020504	GUT_GENOME020527	GUT_GENOME020587	GUT_GENOME020816	GUT_GENOME021420	GUT_GENOME023225	GUT_GENOME025114	GUT_GENOME043775	GUT_GENOME045616	GUT_GENOME046064	GUT_GENOME048928	GUT_GENOME060516	GUT_GENOME061377	GUT_GENOME074443	GUT_GENOME074535	GUT_GENOME077897	GUT_GENOME085525	GUT_GENOME089638	GUT_GENOME093908	GUT_GENOME097745	GUT_GENOME098056	GUT_GENOME104664	GUT_GENOME111093	GUT_GENOME112278	GUT_GENOME113941	GUT_GENOME114621	GUT_GENOME121315	GUT_GENOME121381	GUT_GENOME131058	GUT_GENOME134870	GUT_GENOME135809	GUT_GENOME138004	GUT_GENOME138686	GUT_GENOME139555	GUT_GENOME155714	GUT_GENOME157736	GUT_GENOME158658	GUT_GENOME158740	GUT_GENOME158757	GUT_GENOME170373	GUT_GENOME186828	GUT_GENOME187617	GUT_GENOME198434	GUT_GENOME200363	GUT_GENOME217866	GUT_GENOME238805	GUT_GENOME246617	GUT_GENOME254081	GUT_GENOME254329	GUT_GENOME255876	GUT_GENOME257029	GUT_GENOME257105	GUT_GENOME258572	GUT_GENOME258602	GUT_GENOME258747	GUT_GENOME259430	GUT_GENOME285756	GUT_GENOME285820	GUT_GENOME285904	GUT_GENOME286887
dnaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
group_1375	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1413	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1731	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
group_1838	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
sdhB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
group_2126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_2395	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
group_2409	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_579	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
