id,sample-count,bioproject,secondary-accession,study-abstract,study-name,samples
MGYS00000580,75,PRJEB11846,ERP013262,Characterization of gut microbiota in Juvenile Idiopathic arthritis and comparison with healthy subjects.,Gut microbiota of Juvenile Idiopathic arthritis,"ERS979639,ERS979640,ERS979647,ERS979656,ERS979658,ERS979659,ERS979661,ERS979666,ERS979669,ERS979670,ERS979673,ERS979674,ERS979675,ERS979677,ERS979682,ERS979689,ERS979694,ERS979699,ERS979704,ERS979707,ERS979636,ERS979637,ERS979641,ERS979644,ERS979646"
MGYS00006226,67,PRJNA774891,SRP343296,"Aim of this project was to investgigate the effect of fiber-rich diets in the human gut microbiome. The participants were asked to visit the study center sober and received the intervention meal or placebo meal. Additionally, a capsule with food coloring was administered. The intake of the dye stains the stool green which helps to associate collected stool samples and food intake. 16S rRNA gene was sequenced at ZIEL Core Facility Microbiome, Technical University Munich, Germany.",Effects of Dietary Fiber Intervention on Gut Microbiota in Healthy People,"SRS10733356,SRS10733357,SRS10733358,SRS10733359,SRS10733360,SRS10733361,SRS10733362,SRS10733363,SRS10733364,SRS10733365,SRS10733366,SRS10733367,SRS10733368,SRS10733369,SRS10733370,SRS10733371,SRS10733372,SRS10733373,SRS10733374,SRS10733375,SRS10733376,SRS10733377,SRS10733378,SRS10733379,SRS10733380"
MGYS00006224,100,PRJEB52848,ERP137596,"in the present study, we examined the effect of bovine lactoferrin, galactoligosacharides and vitamind D on the gut microbiota composition of 25 elderly women. Participants were distributed into two groups receiving either the dietary intervention (n=12) or the placebo treatment (n=13) for a total period of 9 weeks. During the first 3 weeks of the study, the intervention group consumed 1 g/day bLF, followed by 3 weeks of 1 g/day bLF and 2.64g/day active galactooligosaccharides (GOS), and 3 weeks of 1 g/day bLF, 2.64g/day GOS and 20 μg/day of vitamin D. The placebo group received maltodextrin, in matching dosages with the supplements administrated to the intervention group. Fecal bacterial composition was profiled using partial 16S rRNA gene amplicon sequencing and short-chain fatty acids analysis (SCFA) concentrations were determined with high liquid performance chromatography. Finally, the fecal levels of calprotectin, zonulin, and alpha-1-antitrypsin were measured, as markers of gastrointestinal barrier and inflammation.","The effect of nutritional intervention with lactoferrin, galactooligosacharides and vitamin D on the gut microbiota composition of healthy elderly women","ERS11982348,ERS11982347,ERS11982346,ERS11982345,ERS11982344,ERS11982343,ERS11982342,ERS11982341,ERS11982340,ERS11982339,ERS11982338,ERS11982337,ERS11982336,ERS11982335,ERS11982334,ERS11982333,ERS11982332,ERS11982331,ERS11982330,ERS11982329,ERS11982328,ERS11982327,ERS11982326,ERS11982325,ERS11982324"
MGYS00006399,149,PRJNA805069,SRP359154,"Stool samples for microbial 16S amplicon sequencing and clinical data were collected from 75 lung cancer patients (50 of which were treated with checkpoint inhibitors) and 31 age-matched healthy volunteers. We compared using multivariate analyses cancer patients to healthy controls, and within lung cancer we compared patients with DCB to those without DCB.",Gut microbial signature in lung cancer patients highlights specific taxa as predictors for durable clinical benefit,"SRS11951794,SRS11951792,SRS11951785,SRS11951780,SRS11951770,SRS11951768,SRS11951767,SRS11951765,SRS11951764,SRS11951759,SRS11951757,SRS11951752,SRS11951748,SRS11951746,SRS11951747,SRS11951745,SRS11951736,SRS11951737,SRS11951730,SRS11951722,SRS11951720,SRS11951717,SRS11951714,SRS11951712,SRS11951701"
MGYS00006219,50,PRJEB53018,ERP137776,"The healthy Finnish controls were previously recruited as part of a dietary intervention investigating the effects of partly replacing animal proteins with plant proteins on health; the inclusion and exclusion criteria have been described elsewhere (PMID: 34837522). The fecal samples derived from 50 Finnish controls that were age-, sex- and BMI-matched with the Pakistani controls were included in the present study.",Healthy Finnish controls,"ERS12034898,ERS12034899,ERS12034900,ERS12034901,ERS12034902,ERS12034903,ERS12034904,ERS12034905,ERS12034906,ERS12034907,ERS12034908,ERS12034909,ERS12034910,ERS12034911,ERS12034912,ERS12034913,ERS12034914,ERS12034915,ERS12034916,ERS12034917,ERS12034918,ERS12034919,ERS12034920,ERS12034921,ERS12034922"
MGYS00006076,100,PRJEB55607,ERP140519,The DIME study consists of a randomised 2x2 cross-over human intervention where healthy participants (n = 20) are subjected to a diet high in bioactive-rich food for two weeks and a diet low in bioactive-rich food. There is a four-week washout between the two interventions.,The effect of dietary bioactive on gut microbiome diversity (DIME) – a pilot study,"ERS12855857,ERS12855865,ERS12855909,ERS12855885,ERS12855858,ERS12855904,ERS12855869,ERS12855911,ERS12855893,ERS12855867,ERS12855861,ERS12855856,ERS12855870,ERS12855889,ERS12855883,ERS12855873,ERS12855884,ERS12855853,ERS12855877,ERS12855882,ERS12855930,ERS12855864,ERS12855850,ERS12855852,ERS12855918"
MGYS00005176,750,PRJNA390646,SRP109293,The purpose of this study is to determine if supplementing healthy term infants delivered by C-section or vaginal delivery who only consume breastmilk with a probiotic for 21 consecutive days increases levels of bacteria in infants'' stool.,Infant Microbiota and Probiotic Intake Study (IMPRINT),"SRS2291850,SRS2291852,SRS2291518,SRS2291549,SRS2291564,SRS2291589,SRS2291603,SRS2291694,SRS2291701,SRS2291746,SRS2291782,SRS2291788,SRS2288458,SRS2288461,SRS2288503,SRS2288511,SRS2288520,SRS2288524,SRS2288603,SRS2288637,SRS2291645,SRS2288624,SRS2288609,SRS2288588,SRS2288607"
MGYS00005817,69,PRJEB8347,ERP009422,"Background: Metagenomics has become a prominent approach for exploring the role of the gut microbiota in human health. However, the temporal variability of the healthy gut microbiome has not yet been studied in depth using metagenomics and little is known about the effects of different sampling and preservation approaches. We performed metagenomic analysis on fecal samples from seven subjects collected over a period of up to two years to investigate temporal variability and assess preservation-induced variation, specifically, fresh frozen compared to RNALater. We also monitored short-term disturbances caused by antibiotic treatment and bowel cleansing in one subject. Results: We find that the human gut microbiome is temporally stable and highly personalized at both taxonomic and functional levels. Over multiple time-points, samples from the same subject clustered together, even in the context of a large dataset of 888 European and American fecal metagenomes. One exception was observed in an antibiotic intervention case where, more than one year after the treatment, samples did not resemble the pre-treatment state. Clustering was not affected by preservation method. No species differed significantly in abundance, and only 0.36% of gene families were differentially abundant between preservation methods. Conclusions: Technical variability is small compared to the temporal variability of an unperturbed gut microbiome, which in turn is much smaller than the observed between-subject variability. Thus, short-term preservation of fecal samples in RNALater is an appropriate and cost-effective alternative to freezing of fecal samples for metagenomic studies.",Temporal and technical variability of human gut metagenomes,"ERS652568,ERS652544,ERS652537,ERS652554,ERS652565,ERS652532,ERS652546,ERS652555,ERS652590,ERS652557,ERS652550,ERS652566,ERS652567,ERS652574,ERS652534,ERS652559,ERS652551,ERS652571,ERS652535,ERS652542,ERS652543,ERS652561,ERS652547,ERS652523,ERS652587"
MGYS00005793,4,PRJEB43974,ERP127968,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA510036, and was assembled with metaSPAdes v3.12.0. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJNA510036 data set (Fecal transplant influence on healthy volunteers).,"SRS4142820,SRS4142816,SRS4142819,SRS4142818"
MGYS00005794,3,PRJNA510036,SRP173438,WGS metagenomics sequencing data describing fecal transplant influence on healthy voluntaries.,Fecal transplant influence on healthy volunteers,"SRS4142820,SRS4142816,SRS4142819"
